"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.255.117","74.125.250.102","UDP","155","63848  >  19305 Len=113"
"2","0.005597","74.125.250.102","192.168.255.117","UDP","104","19305  >  63848 Len=62"
"3","0.020871","192.168.255.117","74.125.250.102","UDP","167","63848  >  19305 Len=125"
"4","0.040616","192.168.255.117","74.125.250.102","UDP","161","63848  >  19305 Len=119"
"5","0.055118","192.168.255.117","74.125.250.102","UDP","834","63848  >  19305 Len=792"
"6","0.059884","192.168.255.117","74.125.250.102","UDP","157","63848  >  19305 Len=115"
"7","0.061441","192.168.255.117","74.125.250.102","UDP","835","63848  >  19305 Len=793"
"8","0.071646","74.125.250.102","192.168.255.117","UDP","104","19305  >  63848 Len=62"
"9","0.079928","192.168.255.117","74.125.250.102","UDP","165","63848  >  19305 Len=123"
"10","0.099784","192.168.255.117","74.125.250.102","UDP","167","63848  >  19305 Len=125"
"11","0.108508","74.125.250.102","192.168.255.117","UDP","100","19305  >  63848 Len=58"
"12","0.119959","192.168.255.117","74.125.250.102","UDP","161","63848  >  19305 Len=119"
"13","0.140409","192.168.255.117","74.125.250.102","UDP","162","63848  >  19305 Len=120"
"14","0.151243","192.168.255.117","74.125.250.102","UDP","942","63848  >  19305 Len=900"
"15","0.156582","74.125.250.102","192.168.255.117","UDP","104","19305  >  63848 Len=62"
"16","0.156811","192.168.255.117","74.125.250.102","UDP","943","63848  >  19305 Len=901"
"17","0.159950","192.168.255.117","74.125.250.102","UDP","168","63848  >  19305 Len=126"
"18","0.172722","192.168.255.117","204.79.197.200","TLSv1.2","278","Application Data"
"19","0.175958","192.168.255.117","103.43.90.180","TLSv1.2","1036","Application Data"
"20","0.179561","192.168.255.117","74.125.250.102","UDP","166","63848  >  19305 Len=124"
"21","0.182160","192.168.255.117","192.168.255.218","DNS","73","Standard query 0x01a4 A eb2.3lift.com"
"22","0.199913","192.168.255.117","74.125.250.102","UDP","161","63848  >  19305 Len=119"
"23","0.200213","192.168.255.117","172.217.194.113","UDP","75","60537  >  443 Len=33"
"24","0.207406","157.240.10.53","192.168.255.117","TLSv1.2","154","Application Data"
"25","0.209537","74.125.250.102","192.168.255.117","UDP","104","19305  >  63848 Len=62"
"26","0.220456","192.168.255.117","74.125.250.102","UDP","168","63848  >  19305 Len=126"
"27","0.240246","192.168.255.117","74.125.250.102","UDP","158","63848  >  19305 Len=116"
"28","0.244836","192.168.255.117","74.125.250.102","UDP","854","63848  >  19305 Len=812"
"29","0.254128","74.125.250.102","192.168.255.117","UDP","104","19305  >  63848 Len=62"
"30","0.259885","192.168.255.117","74.125.250.102","UDP","159","63848  >  19305 Len=117"
"31","0.265203","192.168.255.218","192.168.255.117","DNS","126","Standard query response 0x01a4 A eb2.3lift.com CNAME as-eb2.3lift.com A 35.71.178.8 A 52.223.2.229"
"32","0.266499","192.168.255.117","35.71.178.8","TCP","66","50111  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"33","0.280755","192.168.255.117","74.125.250.102","UDP","159","63848  >  19305 Len=117"
"34","0.290688","204.79.197.200","192.168.255.117","TCP","54","443  >  50094 [ACK] Seq=1 Ack=225 Win=16386 Len=0"
"35","0.299933","192.168.255.117","74.125.250.102","UDP","158","63848  >  19305 Len=116"
"36","0.309031","74.125.250.102","192.168.255.117","UDP","104","19305  >  63848 Len=62"
"37","0.310464","172.217.194.113","192.168.255.117","UDP","68","443  >  60537 Len=26"
"38","0.320727","192.168.255.117","74.125.250.102","UDP","160","63848  >  19305 Len=118"
"39","0.326738","192.168.255.117","74.125.250.102","UDP","100","63848  >  19305 Len=58"
"40","0.333190","103.43.90.180","192.168.255.117","TCP","54","443  >  50110 [ACK] Seq=1 Ack=983 Win=41366 Len=0"
"41","0.340936","192.168.255.117","74.125.250.102","UDP","158","63848  >  19305 Len=116"
"42","0.352904","103.43.90.180","192.168.255.117","TLSv1.2","1208","Application Data"
"43","0.357288","192.168.255.117","103.43.90.180","TLSv1.2","896","Application Data"
"44","0.359579","74.125.250.102","192.168.255.117","UDP","104","19305  >  63848 Len=62"
"45","0.360302","192.168.255.117","74.125.250.102","UDP","163","63848  >  19305 Len=121"
"46","0.363708","204.79.197.200","192.168.255.117","TLSv1.2","305","Application Data"
"47","0.363708","204.79.197.200","192.168.255.117","TLSv1.2","92","Application Data"
"48","0.363827","192.168.255.117","204.79.197.200","TCP","54","50094  >  443 [ACK] Seq=225 Ack=290 Win=258 Len=0"
"49","0.371178","192.168.255.117","192.168.255.218","DNS","73","Standard query 0x676d A hbx.media.net"
"50","0.379954","192.168.255.117","74.125.250.102","UDP","162","63848  >  19305 Len=120"
"51","0.382315","192.168.255.117","74.125.250.102","UDP","1070","63848  >  19305 Len=1028"
"52","0.382591","35.71.178.8","192.168.255.117","TCP","66","443  >  50111 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1380 SACK_PERM=1 WS=256"
"53","0.382730","192.168.255.117","35.71.178.8","TCP","54","50111  >  443 [ACK] Seq=1 Ack=1 Win=66048 Len=0"
